"iso3","iso2","admin1_id","admin2_id","iu_id","location","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier"
"ETH","ET",1947.0,3154.0,18732.0,"school in addis ababa",52358.0,42.116699,9.3166704,3,"","",2005.0,"","",65.0,1,65.0,2,65.0,1,2,5094,0.0153846153846153,0.0307692307692307,0.0153846153846153,0.05694557758865,0.0,231,231,230,192
"ETH","ET",1947.0,3154.0,18732.0,"school in addis ababa",52358.0,42.116699,9.3166704,3,"","",2005.0,"","",66.0,4,66.0,1,66.0,3,2,5089,0.0606060606060606,0.0151515151515151,0.0454545454545454,0.1102755293461671,0.0,232,232,230,192
"ETH","ET",0.0,"",3131.0,"school in addis ababa","",34.7333,9.75,4,"","",2005.0,7.0,17.0,49.0,15,49.0,6,49.0,0,2,31372,0.3061224489795918,0.1224489795918367,0.0,0.3689500443997391,27244.622230283516,233,233,233,193
"ETH","ET",1945.0,3141.0,18707.0,"school in adi gudem","",41.8566146,9.5815123,1,"","",2005.0,7.0,17.0,67.0,0,67.0,3,67.0,0,2,31359,0.0,0.044776119402985,0.0,0.0422416220782878,0.0,234,234,271,194
"ETH","ET",1948.0,"",3151.0,"school in adigrat","",38.9833,5.88333,4,"","",2005.0,7.0,17.0,50.0,3,50.0,5,50.0,1,2,31459,0.06,0.1,0.02,0.1612452830188679,5974.411064335221,235,235,235,195
"ETH","ET",1950.0,"",3195.0,"school in adigrat","",37.75,6.9,4,"","",2005.0,7.0,17.0,47.0,5,47.0,26,47.0,4,2,31457,0.1063829787234042,0.5531914893617021,0.0851063829787234,0.5987785089245685,0.0,236,236,263,196
"ETH","ET",1947.0,"",3154.0,"school in adigrat","",42.116699,9.31667,4,"","",2005.0,7.0,17.0,68.0,0,68.0,0,68.0,0,2,31476,0.0,0.0,0.0,0.0,0.0,237,237,229,191
"ETH","ET",1951.0,"",3176.0,"school in adigrat","",38.1325,13.5614,4,"","",2005.0,7.0,17.0,50.0,11,50.0,3,50.0,0,2,31452,0.22,0.06,0.0,0.2516981132075472,11945.68690931792,238,238,238,197
"ETH","ET",1950.0,3152.0,19242.0,"school in adigrat",52483.0,39.4605612,14.278304,1,"","",2005.0,"","",47.0,5,47.0,26,47.0,4,2,5305,0.1063829787234042,0.5531914893617021,0.0851063829787234,0.5987785089245685,0.0,239,239,240,198
"ETH","ET",1948.0,3151.0,18750.0,"school in adigrat",52155.0,39.4605612,14.278304,1,"","",2005.0,"","",50.0,3,50.0,5,50.0,1,2,5106,0.06,0.1,0.02,0.1612452830188679,0.0,240,240,239,198
"ETH","ET",1951.0,3176.0,19324.0,"school in adigrat",52516.0,39.4702674,14.2710308,1,"","",2005.0,"","",50.0,11,50.0,3,50.0,0,2,5331,0.22,0.06,0.0,0.2516981132075472,1251.088547183763,241,241,241,199
"ETH","ET",1947.0,3154.0,18732.0,"school in adigrat",52359.0,39.4605612,14.278304,1,"","",2005.0,"","",68.0,0,68.0,0,68.0,0,2,5092,0.0,0.0,0.0,0.0,0.0,242,242,239,198
"ETH","ET",1950.0,"",22487.0,"school in adola","",37.4833,5.25,4,"","",2005.0,7.0,17.0,48.0,0,48.0,12,48.0,1,2,31398,0.0,0.25,0.0208333333333333,0.2505896226415094,11260.6307349624,243,243,243,200
