iso2,iso3,admin0_id,admin1,admin1_id,admin2,admin2_id,iu_name,iu_id,iu_code
MZ,MOZ,31,Gaza,3445.0,Manjacaze,33132.0,Manjacaze,33132.0,MOZ0344533132
NG,NGA,34,Ekiti,3787.0,Aiyekiri (Gbonyin,36580.0,Aiyekiri (Gbonyin,36580.0,NGA0378736580
NG,NGA,34,Ekiti,3787.0,Ido-Osi,36586.0,Ido-Osi,36586.0,NGA0378736586
MZ,MOZ,31,Gaza,3445.0,Xai-Xai Dist,33135.0,Xai-Xai Dist,33135.0,MOZ0344533135
MZ,MOZ,31,Gaza,3445.0,Massangena,33133.0,Massangena,33133.0,MOZ0344533133
NG,NGA,34,Abia,3775.0,Obio-Ngwa,36345.0,Obio-Ngwa,36345.0,NGA0377536345
MZ,MOZ,31,Gaza,3445.0,Chicualacuala,33125.0,Chicualacuala,33125.0,MOZ0344533125
NE,NER,33,Tahoua,3672.0,Abalak,35316.0,Abalak,35316.0,NER0367235316
NE,NER,33,Diffa,3668.0,Diffa,35298.0,Diffa,35298.0,NER0366835298
MZ,MOZ,31,Gaza,3445.0,Chigubo,33126.0,Chigubo,33126.0,MOZ0344533126
NG,NGA,34,Ekiti,3787.0,Ikere,36588.0,Ikere,36588.0,NGA0378736588
NE,NER,33,Maradi,3670.0,AguiÃ©,35306.0,AguiÃ©,35306.0,NER0367035306
NE,NER,33,Agadez,3667.0,Arlit,35295.0,Arlit,35295.0,NER0366735295
NG,NGA,34,Sokoto,3808.0,Yabo,37063.0,Yabo,37063.0,NGA0380837063
NE,NER,33,Agadez,3667.0,Bilma,35296.0,Bilma,35296.0,NER0366735296
NG,NGA,34,Anambra,3778.0,Aguata,36406.0,Aguata,36406.0,NGA0377836406
NE,NER,33,Tahoua,3672.0,Birni N'Konni,35317.0,Birni N'Konni,35317.0,NER0367235317
NE,NER,33,Dosso,3669.0,Boboye,35301.0,Boboye,35301.0,NER0366935301
NG,NGA,34,Enugu,3788.0,Awgu,36596.0,Awgu,36596.0,NGA0378836596
NE,NER,33,Tahoua,3672.0,Bouza,35318.0,Bouza,35318.0,NER0367235318
NE,NER,33,Maradi,3670.0,Dakoro,35307.0,Dakoro,35307.0,NER0367035307
NG,NGA,34,Osun,3804.0,Ilesha West,36956.0,Ilesha West,36956.0,NGA0380436956
NG,NGA,34,Osun,3804.0,Irepodun,36957.0,Irepodun,36957.0,NGA0380436957
NE,NER,33,Dosso,3669.0,Dogondoutchi,35303.0,Dogondoutchi,35303.0,NER0366935303
NG,NGA,34,Osun,3804.0,Isokan,36959.0,Isokan,36959.0,NGA0380436959
NG,NGA,34,Osun,3804.0,Iwo,36960.0,Iwo,36960.0,NGA0380436960
NE,NER,33,Dosso,3669.0,Dosso,35302.0,Dosso,35302.0,NER0366935302
NE,NER,33,Maradi,3670.0,Guidan Roumdji,35308.0,Guidan Roumdji,35308.0,NER0367035308
NG,NGA,34,Osun,3804.0,Ife East,36949.0,Ife East,36949.0,NGA0380436949
NE,NER,33,TillabÃ©ri,3673.0,FilinguÃ©,35325.0,FilinguÃ©,35325.0,NER0367335325
NG,NGA,34,Ogun,3802.0,Abeokuta South,36901.0,Abeokuta South,36901.0,NGA0380236901
NG,NGA,34,Kano,3794.0,Gaya,36721.0,Gaya,36721.0,NGA0379436721
NE,NER,33,Dosso,3669.0,Gaya,35304.0,Gaya,35304.0,NER0366935304
NG,NGA,34,Osun,3804.0,Odo-Otin,36962.0,Odo-Otin,36962.0,NGA0380436962
NG,NGA,34,Osun,3804.0,Ola-Oluwa,36963.0,Ola-Oluwa,36963.0,NGA0380436963
NE,NER,33,Zinder,3674.0,GourÃ©,35331.0,GourÃ©,35331.0,NER0367435331
NG,NGA,34,Osun,3804.0,Oriade,36965.0,Oriade,36965.0,NGA0380436965
NG,NGA,34,Osun,3804.0,orolu,36967.0,orolu,36967.0,NGA0380436967
NE,NER,33,Tahoua,3672.0,IllÃ©la,35319.0,IllÃ©la,35319.0,NER0367235319
NE,NER,33,Zinder,3674.0,Matamaye,35333.0,Matamaye,35333.0,NER0367435333
NG,NGA,34,Katsina,3795.0,Kusada,36772.0,Kusada,36772.0,NGA0379536772
NG,NGA,34,Katsina,3795.0,Mai'adua,36773.0,Mai'adua,36773.0,NGA0379536773
NE,NER,33,Tahoua,3672.0,Keita,35320.0,Keita,35320.0,NER0367235320
NE,NER,33,Dosso,3669.0,Loga,35305.0,Loga,35305.0,NER0366935305
NG,NGA,34,Abia,3775.0,Umuahia South,36353.0,Umuahia South,36353.0,NGA0377536353
NG,NGA,34,Rivers,3807.0,Oyigbo,37038.0,Oyigbo,37038.0,NGA0380737038
NE,NER,33,TillabÃ©ri,3673.0,Kollo,35326.0,Kollo,35326.0,NER0367335326
NG,NGA,34,Katsina,3795.0,Mashi,36776.0,Mashi,36776.0,NGA0379536776
NE,NER,33,Tahoua,3672.0,Madaoua,35321.0,Madaoua,35321.0,NER0367235321
NE,NER,33,Maradi,3670.0,Madarounfa,35309.0,Madarounfa,35309.0,NER0367035309
NE,NER,33,Maradi,3670.0,Ville de Maradi,35310.0,Ville de Maradi,35310.0,NER0367035310
NE,NER,33,Zinder,3674.0,Magaria,35332.0,Magaria,35332.0,NER0367435332
NG,NGA,34,Imo,3791.0,Ihite/Uboma,36635.0,Ihite/Uboma,36635.0,NGA0379136635
NE,NER,33,Diffa,3668.0,MaÃ¯nÃ© Soroa,35299.0,MaÃ¯nÃ© Soroa,35299.0,NER0366835299
NG,NGA,34,Kano,3794.0,Gwale,36723.0,Gwale,36723.0,NGA0379436723
NG,NGA,34,Kano,3794.0,Gwarzo,36724.0,Gwarzo,36724.0,NGA0379436724
NE,NER,33,Maradi,3670.0,Mayahi,35311.0,Mayahi,35311.0,NER0367035311
NE,NER,33,Niamey,3671.0,Niamey 2,35314.0,Niamey 2,35314.0,NER0367135314
NE,NER,33,TillabÃ©ri,3673.0,Ouallam,35327.0,Ouallam,35327.0,NER0367335327
NE,NER,33,TillabÃ©ri,3673.0,Say,35328.0,Say,35328.0,NER0367335328
NE,NER,33,Zinder,3674.0,Mirriah,35334.0,Mirriah,35334.0,NER0367435334
NG,NGA,34,Kebbi,3796.0,Kalgo,36795.0,Kalgo,36795.0,NGA0379636795
NG,NGA,34,Abia,3775.0,Ukwa West,36350.0,Ukwa West,36350.0,NGA0377536350
NE,NER,33,Diffa,3668.0,N'Guigmi,35300.0,N'Guigmi,35300.0,NER0366835300
NG,NGA,34,Osun,3804.0,Boluwadura,36942.0,Boluwadura,36942.0,NGA0380436942
NE,NER,33,Tahoua,3672.0,Tahoua,35324.0,Tahoua,35324.0,NER0367235324
NE,NER,33,Zinder,3674.0,Tanout,35335.0,Tanout,35335.0,NER0367435335
NE,NER,33,Agadez,3667.0,Agadez,35294.0,Agadez,35294.0,NER0366735294
NE,NER,33,TillabÃ©ri,3673.0,TÃ©ra,35329.0,TÃ©ra,35329.0,NER0367335329
NE,NER,33,Tahoua,3672.0,Tchintabaraden,35323.0,Tchintabaraden,35323.0,NER0367235323
NG,NGA,34,Katsina,3795.0,Rimi,36779.0,Rimi,36779.0,NGA0379536779
NG,NGA,34,Katsina,3795.0,Sandamu,36782.0,Sandamu,36782.0,NGA0379536782
NE,NER,33,Maradi,3670.0,Tessaoua,35312.0,Tessaoua,35312.0,NER0367035312
NE,NER,33,TillabÃ©ri,3673.0,TillabÃ©ri,35330.0,TillabÃ©ri,35330.0,NER0367335330
NE,NER,33,Agadez,3667.0,Tchirozerine,35297.0,Tchirozerine,35297.0,NER0366735297
NE,NER,33,Niamey,3671.0,Niamey 5,35315.0,Niamey 5,35315.0,NER0367135315
NE,NER,33,Niamey,3671.0,Niamey 1,35313.0,Niamey 1,35313.0,NER0367135313
NG,NGA,34,Katsina,3795.0,Batangarawa,36751.0,Batangarawa,36751.0,NGA0379536751
NG,NGA,34,Katsina,3795.0,Batsari,36752.0,Batsari,36752.0,NGA0379536752
NG,NGA,34,Katsina,3795.0,Baure,36753.0,Baure,36753.0,NGA0379536753
NG,NGA,34,Katsina,3795.0,Bindawa,36754.0,Bindawa,36754.0,NGA0379536754
NG,NGA,34,Katsina,3795.0,Charanchi,36755.0,Charanchi,36755.0,NGA0379536755
NG,NGA,34,Katsina,3795.0,Dandume,36757.0,Dandume,36757.0,NGA0379536757
NG,NGA,34,Katsina,3795.0,Danja,36758.0,Danja,36758.0,NGA0379536758
NG,NGA,34,Katsina,3795.0,Dan Musa,36756.0,Dan Musa,36756.0,NGA0379536756
NG,NGA,34,Katsina,3795.0,Katsina-Ala,36463.0,Katsina-Ala,36463.0,NGA0379536463
NG,NGA,34,Katsina,3795.0,Mani,36775.0,Mani,36775.0,NGA0379536775
NG,NGA,34,Katsina,3795.0,Musawa,36778.0,Musawa,36778.0,NGA0379536778
NG,NGA,34,Katsina,3795.0,Sabuwa,36780.0,Sabuwa,36780.0,NGA0379536780
NG,NGA,34,Kebbi,3796.0,Bunza,36790.0,Bunza,36790.0,NGA0379636790
NG,NGA,34,Kebbi,3796.0,Gwandu,36793.0,Gwandu,36793.0,NGA0379636793
NG,NGA,34,Katsina,3795.0,Safana,36781.0,Safana,36781.0,NGA0379536781
NG,NGA,34,Katsina,3795.0,Zango,36783.0,Zango,36783.0,NGA0379536783
NG,NGA,34,Kebbi,3796.0,Arewa-Dandi,36785.0,Arewa-Dandi,36785.0,NGA0379636785
NG,NGA,34,Kebbi,3796.0,Argungu,36786.0,Argungu,36786.0,NGA0379636786
NG,NGA,34,Kebbi,3796.0,Augie,36787.0,Augie,36787.0,NGA0379636787
NG,NGA,34,Kebbi,3796.0,Bagudo,36788.0,Bagudo,36788.0,NGA0379636788
NG,NGA,34,Osun,3804.0,Ifedayo,36952.0,Ifedayo,36952.0,NGA0380436952
NG,NGA,34,Kebbi,3796.0,Birnin Kebbi,36789.0,Birnin Kebbi,36789.0,NGA0379636789
NG,NGA,34,Kebbi,3796.0,Dandi,36791.0,Dandi,36791.0,NGA0379636791
NG,NGA,34,Osun,3804.0,Ede North,36944.0,Ede North,36944.0,NGA0380436944
NG,NGA,34,Osun,3804.0,Ede South,36945.0,Ede South,36945.0,NGA0380436945
NG,NGA,34,Osun,3804.0,Egbedore,36946.0,Egbedore,36946.0,NGA0380436946
NG,NGA,34,Kebbi,3796.0,Wasagu/Danko,36802.0,Wasagu/Danko,36802.0,NGA0379636802
NG,NGA,34,Kebbi,3796.0,Fakai,36792.0,Fakai,36792.0,NGA0379636792
NG,NGA,34,Oyo,3805.0,Afijo,36968.0,Afijo,36968.0,NGA0380536968
NG,NGA,34,Imo,3791.0,Ideato South,36634.0,Ideato South,36634.0,NGA0379136634
NG,NGA,34,Kebbi,3796.0,Koko/Besse,36796.0,Koko/Besse,36796.0,NGA0379636796
NG,NGA,34,Kebbi,3796.0,Maiyama,36797.0,Maiyama,36797.0,NGA0379636797
NG,NGA,34,Kebbi,3796.0,Ngaski,36798.0,Ngaski,36798.0,NGA0379636798
NG,NGA,34,Kebbi,3796.0,Sakaba,36799.0,Sakaba,36799.0,NGA0379636799
NG,NGA,34,Osun,3804.0,Ife North,36950.0,Ife North,36950.0,NGA0380436950
NG,NGA,34,Osun,3804.0,Ife South,36951.0,Ife South,36951.0,NGA0380436951
NG,NGA,34,Osun,3804.0,Ila,36954.0,Ila,36954.0,NGA0380436954
NG,NGA,34,Edo,3786.0,Ovia South West,36575.0,Ovia South West,36575.0,NGA0378636575
NG,NGA,34,Edo,3786.0,Owan East,36576.0,Owan East,36576.0,NGA0378636576
NG,NGA,34,Edo,3786.0,Owan West,36577.0,Owan West,36577.0,NGA0378636577
NG,NGA,34,Bauchi,3779.0,Shira,36442.0,Shira,36442.0,NGA0377936442
NG,NGA,34,Bauchi,3779.0,Tafawa-Balewa,36443.0,Tafawa-Balewa,36443.0,NGA0377936443
NG,NGA,34,Bauchi,3779.0,Toro,36444.0,Toro,36444.0,NGA0377936444
NG,NGA,34,Bauchi,3779.0,Warji,36445.0,Warji,36445.0,NGA0377936445
NG,NGA,34,Kwara,3798.0,Ayun,36827.0,Ayun,36827.0,NGA0379836827
NG,NGA,34,Bauchi,3779.0,Zaki,36446.0,Zaki,36446.0,NGA0377936446
NG,NGA,34,Bayelsa,3780.0,Brass,36447.0,Brass,36447.0,NGA0378036447
NG,NGA,34,Abia,3775.0,Isiala-Ngwa North,36342.0,Isiala-Ngwa North,36342.0,NGA0377536342
NG,NGA,34,Abia,3775.0,Isiala-Ngwa South,36343.0,Isiala-Ngwa South,36343.0,NGA0377536343
NG,NGA,34,Taraba,3809.0,Ardo-Kola,37064.0,Ardo-Kola,37064.0,NGA0380937064
NG,NGA,34,Taraba,3809.0,Bali,37065.0,Bali,37065.0,NGA0380937065
