"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence"
"ETH","ET",1948.0,3194.0,18853.0,52307.0,35.8027,9.1884298,3,"","",2009.0,"","",103.0,45,103.0,19,103.0,3,1,5151,0.4368932038834951,0.18446601941747573,0.02912621359223301,0.5227763995878685
"ETH","ET",1948.0,3155.0,18781.0,52192.0,36.530102,8.4810305,3,"","",2009.0,"","",94.0,52,94.0,24,94.0,12,1,5115,0.5531914893617021,0.2553191489361702,0.1276595744680851,0.6695720710447152
"ETH","ET",1943.0,"",3180.0,"",39.3,11.2167,4,"","",1993.0,0.0,5.0,106.0,7,106.0,42,106.0,13,3,29233,0.0660377358490566,0.39622641509433965,0.12264150943396226,0.4766566195394171
"ETH","ET",1943.0,3171.0,18602.0,"",37.264999,12.319,3,"","",1995.0,5.0,16.0,119.0,39,119.0,58,119.0,0,3,30126,0.3277310924369748,0.48739495798319327,0.0,0.6182939324453421
"ETH","ET",1948.0,3132.0,18985.0,52479.0,41.155899,6.7541699,3,"","",2009.0,"","",65.0,0,65.0,1,65.0,0,1,5223,0.0,0.015384615384615385,0.0,0.014513788098693758
"ETH","ET","","",3164.0,"",35.048,8.852,4,"","",1982.0,0.0,99.0,269.0,36,269.0,15,269.0,5,3,28781,0.13382899628252787,0.055762081784386616,0.01858736059479554,0.1861609124731944
"ETH","ET",1948.0,3151.0,19027.0,52522.0,39.108398,5.9359298,3,"","",2009.0,"","",104.0,46,104.0,6,104.0,3,1,5245,0.4423076923076923,0.057692307692307696,0.028846153846153848,0.46192586266864755
"ETH","ET",1948.0,3151.0,19027.0,52523.0,39.108398,5.9359298,3,"","",2009.0,"","",106.0,48,106.0,5,106.0,3,1,5248,0.4528301886792453,0.04716981132075472,0.02830188679245283,0.46546750445251683
"ETH","ET",1948.0,3194.0,18949.0,52439.0,35.084,9.6416101,3,"","",2009.0,"","",108.0,48,108.0,3,108.0,3,1,5198,0.4444444444444444,0.027777777777777776,0.027777777777777776,0.4479999741180733
"ETH","ET",1943.0,3171.0,18602.0,"",37.882,13.235,3,"","",1995.0,5.0,19.0,120.0,37,120.0,62,120.0,27,3,30113,0.30833333333333335,0.5166666666666667,0.225,0.6989747117400419
"ETH","ET",1943.0,3171.0,18602.0,"",37.712799,12.4622,3,"","",1995.0,8.0,18.0,70.0,12,70.0,26,70.0,11,3,30135,0.17142857142857143,0.37142857142857144,0.15714285714285714,0.5292700368557125
"ETH","ET",1948.0,3189.0,18966.0,52467.0,40.489674,9.1450005,3,"","",2014.0,"","",384.0,53,384.0,37,384.0,18,1,5212,0.13802083333333334,0.09635416666666667,0.046875,0.24300771189435724
"ETH","ET",1948.0,3132.0,18985.0,52480.0,41.155899,6.7541699,3,"","",2009.0,"","",64.0,0,64.0,1,64.0,0,1,5222,0.0,0.015625,0.0,0.014740566037735848
"ETH","ET",1948.0,3135.0,19035.0,52540.0,38.1001629,4.8949753,2,"","",2009.0,"","",106.0,3,106.0,1,106.0,0,1,5255,0.02830188679245283,0.009433962264150943,0.0,0.03534797181565991
"ETH","ET",1948.0,3135.0,19035.0,52541.0,38.25,5.0700002,3,"","",2009.0,"","",106.0,3,106.0,1,106.0,0,1,5254,0.02830188679245283,0.009433962264150943,0.0,0.03534797181565991
"ETH","ET",1948.0,3143.0,18876.0,52323.0,41.5294,8.82621,3,"","",2009.0,"","",88.0,53,88.0,0,88.0,0,1,5163,0.6022727272727273,0.0,0.0,0.5681818181818181
"ETH","ET",1945.0,3141.0,18707.0,"",41.869999,9.591,3,"","",1986.0,5.0,19.0,99.0,0,99.0,12,99.0,11,3,29291,0.0,0.12121212121212122,0.1111111111111111,0.20646718759926305
"ETH","ET",1948.0,3189.0,18839.0,52285.0,37.1,4.983333,1,"","",2009.0,"","",104.0,2,104.0,1,104.0,0,1,5144,0.019230769230769232,0.009615384615384616,0.0,0.02703890811655688
"ETH","ET",1948.0,3164.0,18812.0,52228.0,35.0732,8.8923197,3,"","",2009.0,"","",102.0,10,102.0,17,102.0,3,1,5128,0.09803921568627451,0.16666666666666666,0.029411764705882353,0.2551631085286501
