"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst"
"NER","NE",3667.0,35297.0,35297.0,55704.0,7.112,16.198999,3,"","",2004.0,"","",66,1,66,0,66,0,2,10096,0.0151515151515151,0.0,0.0,0.0142938822184105,7061.122555463523,59,59,59
"NER","NE",3668.0,35299.0,35299.0,13775.0,11.3867,13.4218,3,"","",2006.0,"","",60,1,60,0,60,5,1,10115,0.0166666666666666,0.0,0.0833333333333333,0.0930293501048217,253.98586280755066,60,60,60
"NER","NE",3668.0,35299.0,35299.0,55662.0,11.95,13.871,3,"","",2004.0,"","",60,0,60,0,60,0,2,10108,0.0,0.0,0.0,0.0,9377.924968497457,61,61,61
"NER","NE",3674.0,35334.0,35334.0,55674.0,7.766667,13.55,1,"","",2004.0,"","",60,0,60,0,60,0,2,10266,0.0,0.0,0.0,0.0,23849.81232901863,62,62,62
"NER","NE",3674.0,35335.0,35335.0,"",8.15,14.6833333,3,"","mapping",2005.0,7.0,14.0,60,0,60,0,60,0,2,27597,0.0,0.0,0.0,0.0,0.0,63,63,64
"NER","NE",3674.0,35335.0,35335.0,13803.0,8.15,14.6833333,3,"","",2006.0,"","",60,0,60,0,60,0,1,10272,0.0,0.0,0.0,0.0,0.0,64,64,63
"NER","NE",3674.0,35334.0,35334.0,55675.0,8.9200001,13.779,3,"","",2004.0,"","",60,1,60,0,60,0,2,10265,0.0166666666666666,0.0,0.0,0.0157232704402515,8234.961155625777,65,65,65
"NER","NE",3670.0,35307.0,35307.0,13732.0,7.30694,14.37806,3,"","",2006.0,"","",60,0,60,0,60,0,1,10147,0.0,0.0,0.0,0.0,39178.18700686449,66,66,66
"NER","NE",3672.0,35324.0,35324.0,55687.0,5.3299999,14.714,3,"","",2004.0,"","",60,0,60,0,60,0,2,10194,0.0,0.0,0.0,0.0,265.8978694847728,67,67,67
"NER","NE",3673.0,35325.0,35325.0,"",3.016667,14.283333,1,"","mapping",2005.0,10.0,17.0,60,1,60,0,60,0,2,27465,0.0166666666666666,0.0,0.0,0.0157232704402515,0.0,68,68,69
"NER","NE",3673.0,35325.0,35325.0,13742.0,3.016667,14.283333,1,"","",2006.0,"","",50,0,50,0,50,0,1,10218,0.0,0.0,0.0,0.0,0.0,69,69,68
"NER","NE",3674.0,35332.0,35332.0,55650.0,9.1599998,13.158,3,"","",2004.0,"","",60,1,60,0,60,0,2,10256,0.0166666666666666,0.0,0.0,0.0157232704402515,38298.554217175995,70,70,70
